iter	Passed	Remaining
806	1396	334
807	1398	332
808	1400	330
809	1402	328
810	1403	327
811	1405	325
812	1407	323
813	1409	322
814	1411	320
815	1413	318
816	1414	316
817	1416	315
818	1418	313
819	1419	311
820	1422	310
821	1424	308
822	1426	306
823	1427	304
824	1429	303
825	1431	301
826	1432	299
827	1434	297
828	1436	296
829	1438	294
830	1440	292
831	1441	291
832	1443	289
833	1445	287
834	1447	285
835	1448	284
836	1450	282
837	1452	280
838	1454	279
839	1455	277
840	1457	275
841	1459	273
842	1460	272
843	1462	270
844	1463	268
845	1465	266
846	1467	265
847	1469	263
848	1471	261
849	1472	259
850	1474	258
851	1475	256
852	1477	254
853	1478	252
854	1480	251
855	1482	249
856	1483	247
857	1485	245
858	1486	244
859	1488	242
860	1489	240
861	1491	238
862	1492	236
863	1494	235
864	1495	233
865	1497	231
866	1499	229
867	1500	228
868	1502	226
869	1503	224
870	1505	222
871	1507	221
872	1508	219
873	1509	217
874	1511	215
875	1513	214
876	1515	212
877	1516	210
878	1518	209
879	1520	207
880	1522	205
881	1523	203
882	1525	202
883	1526	200
884	1528	198
885	1530	196
886	1531	195
887	1533	193
888	1534	191
889	1536	189
890	1537	188
891	1539	186
892	1541	184
893	1542	182
894	1544	181
895	1546	179
896	1547	177
897	1548	175
898	1550	174
899	1552	172
900	1554	170
901	1555	169
902	1557	167
903	1559	165
904	1561	163
905	1562	162
906	1564	160
907	1565	158
908	1567	156
909	1568	155
910	1569	153
911	1571	151
912	1573	149
913	1575	148
914	1576	146
915	1578	144
916	1579	143
917	1581	141
918	1582	139
919	1584	137
920	1585	136
921	1587	134
922	1589	132
923	1595	131
924	1597	129
925	1598	127
926	1600	126
927	1601	124
928	1603	122
929	1605	120
930	1606	119
931	1607	117
932	1609	115
933	1610	113
934	1612	112
935	1613	110
936	1615	108
937	1616	106
938	1618	105
939	1620	103
940	1621	101
941	1623	99
942	1625	98
943	1626	96
944	1628	94
945	1629	93
946	1631	91
947	1632	89
948	1634	87
949	1636	86
950	1638	84
951	1640	82
952	1641	80
953	1643	79
954	1645	77
955	1646	75
956	1648	74
957	1650	72
958	1651	70
959	1653	68
960	1655	67
961	1657	65
962	1658	63
963	1660	62
964	1661	60
965	1663	58
966	1665	56
967	1666	55
968	1668	53
969	1669	51
970	1671	49
971	1672	48
972	1674	46
973	1675	44
974	1677	43
975	1678	41
976	1680	39
977	1681	37
978	1683	36
979	1684	34
980	1686	32
981	1687	30
982	1689	29
983	1690	27
984	1691	25
985	1693	24
986	1695	22
987	1696	20
988	1698	18
989	1700	17
990	1701	15
991	1703	13
992	1704	12
993	1705	10
994	1707	8
995	1709	6
996	1711	5
997	1713	3
998	1715	1
999	1716	0
